rank,name,region,complex_no
1,헬리오시티,서울 가락동,119273
2,디에이치퍼스티어아이파크,서울 개포동,126600
3,파크리오,서울 신천동,22238
4,잠실엘스,서울 잠실동,22002
5,올림픽선수기자촌,서울 방이동,898
6,래미안원베일리,서울 반포동,126744
7,리센츠,서울 잠실동,22156
8,은마,서울 대치동,832
9,반포자이,서울 반포동,23363
10,잠실주공(5단지),서울 잠실동,890
11,현대(신현대),서울 압구정동,808
12,올림픽훼밀리타운,서울 문정동,1219
13,래미안퍼스티지,서울 반포동,23259
14,한보미도맨션,서울 대치동,835
15,개포자이프레지던스,서울 개포동,119339
16,도곡렉슬,서울 도곡동,9804
17,트리지움,서울 잠실동,18873
18,현대(6 7차),서울 압구정동,806
19,고덕그라시움,서울 고덕동,111515
20,삼풍,서울 서초동,1413
21,현대(1~7차),서울 압구정동,804
22,레이크팰리스,서울 잠실동,14441
23,아크로리버파크,서울 반포동,108994
24,고덕아르테온,서울 상일동,115049
25,마포래미안푸르지오,서울 아현동,102377
26,신반포(한신2차),서울 잠원동,1275
27,목동신시가지(14단지),서울 신정동,1850
28,장미(1차),서울 신천동,882
29,목동신시가지(7단지),서울 목동,1818
30,아시아선수촌,서울 잠실동,892
31,개포래미안포레스트,서울 개포동,118228
32,래미안힐스테이트고덕,서울 고덕동,108035
33,디에이치자이개포,서울 일원동,119858
34,타워팰리스(1차),서울 도곡동,986
35,우성1 2 3차,서울 잠실동,885
36,래미안대치팰리스1단지,서울 대치동,102710
37,래미안블레스티지,서울 개포동,111322
38,래미안슈르,경기 원문동,18731
39,신반포(한신4차),서울 잠원동,1279
40,신동아,서울 서빙고동,1943
41,강동롯데캐슬퍼스트,서울 암사동,22384
42,목동신시가지(5단지),서울 목동,1816
43,한가람,서울 이촌동,1961
44,목동신시가지(13단지),서울 신정동,1849
45,산성역포레스티아,경기 신흥동,116499
46,미성(2차),서울 압구정동,810
47,목동신시가지(9단지),서울 신정동,1844
48,파크뷰,경기 정자동,2953
49,선경(1 2차),서울 대치동,833
50,시범,서울 여의도동,1932
